"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 08:03:37 UTC 2024","Wed Mar 27 08:03:43 UTC 2024","5515","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net, C1538764",""
"passed","Wed Mar 27 08:03:36 UTC 2024","Wed Mar 27 08:03:36 UTC 2024","669","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/ios, C1539669",""
"passed","Wed Mar 27 08:03:29 UTC 2024","Wed Mar 27 08:03:30 UTC 2024","637","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/linux, C1539669",""
"passed","Wed Mar 27 08:03:57 UTC 2024","Wed Mar 27 08:03:57 UTC 2024","365","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscriptionBlocked, C1539674",""
"passed","Wed Mar 27 08:03:43 UTC 2024","Wed Mar 27 08:03:43 UTC 2024","7","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/invite, C1539666",""
"passed","Wed Mar 27 08:03:34 UTC 2024","Wed Mar 27 08:03:36 UTC 2024","1310","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/windows, C1539669",""
"passed","Wed Mar 27 08:03:55 UTC 2024","Wed Mar 27 08:03:55 UTC 2024","198","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/ios, C1539669",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:38 UTC 2024","153","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/ios, C1539669",""
"passed","Wed Mar 27 08:03:57 UTC 2024","Wed Mar 27 08:03:57 UTC 2024","403","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/support, C1539673",""
"passed","Wed Mar 27 08:03:28 UTC 2024","Wed Mar 27 08:03:29 UTC 2024","635","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/, C1539677",""
"passed","Wed Mar 27 08:03:43 UTC 2024","Wed Mar 27 08:03:44 UTC 2024","258","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/terms, C1539676",""
"passed","Wed Mar 27 08:03:48 UTC 2024","Wed Mar 27 08:03:48 UTC 2024","179","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite/success, C1539667",""
"passed","Wed Mar 27 08:03:50 UTC 2024","Wed Mar 27 08:03:50 UTC 2024","139","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/, C1539677",""
"passed","Wed Mar 27 08:03:28 UTC 2024","Wed Mar 27 08:03:28 UTC 2024","596","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/terms, C1539676",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:38 UTC 2024","277","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/android, C1539669",""
